Time,QCond Train,Qcond Valid,RR condition,D Train,D Valid,QReb Train,QReb Valid,B Train,B Valid
5/10/2022 12:00:00,0,0,1,0,0,0,0,0,0
5/10/2022 12:00:36,0,0,1,0,0,0,0,0,0
5/10/2022 12:01:12,0,0,1,0,0,0,0,0,0
5/10/2022 12:01:48,0,0,1,0,0,0,0,0,0
5/10/2022 12:02:24,0,0,1,0,0,0,0,0,0
5/10/2022 12:03:00,0,0,1,0,0,0,0,0,0
5/10/2022 12:03:36,0,0,1,0,0,0,0,0,0
5/10/2022 12:04:12,0,0,1,0,0,0,0,0,0
5/10/2022 12:04:48,0,0,1,0,0,0,0,0,0
5/10/2022 12:05:24,0,0,1,0,0,0,0,0,0
5/10/2022 12:06:00,0,0,1,0,0,0,0,0,0
5/10/2022 12:06:36,0,0,1,0,0,0,0,0,0
5/10/2022 12:07:12,0,0,1,0,0,0,0,0,0
5/10/2022 12:07:48,0,0,1,0,0,0,0,0,0
5/10/2022 12:08:24,0,0,1,0,0,0,0,0,0
5/10/2022 12:09:00,0,0,1,0,0,0,0,0,0
5/10/2022 12:09:36,0,0,1,0,0,0,0,0,0
5/10/2022 12:10:12,0,0,1,0,0,0,0,0,0
5/10/2022 12:10:48,0,0,1,0,0,0,0,0,0
5/10/2022 12:11:24,0,0,1,0,0,0,0,0,0
5/10/2022 12:12:00,0,0,1,0,0,0,0,0,0
5/10/2022 12:12:36,0,0,1,0,0,0,0,0,0
5/10/2022 12:13:12,0,0,1,0,0,0,0,0,0
5/10/2022 12:13:48,0,0,1,0,0,0,0,0,0
5/10/2022 12:14:24,0,0,1,0,0,0,0,0,0
5/10/2022 12:15:00,0,0,1,0,0,0,0,0,0
5/10/2022 12:15:36,0,0,1,0,0,0,0,0,0
5/10/2022 12:16:12,0,0,1,0,0,0,0,0,0
5/10/2022 12:16:48,0,0,1,0,0,0,0,0,0
5/10/2022 12:17:24,0,0,1,0,0,0,0,0,0
5/10/2022 12:18:00,0,0,1,0,0,0,0,0,0
5/10/2022 12:18:36,0,0,1,0,0,0,0,0,0
5/10/2022 12:19:12,0,0,1,0,0,0,0,0,0
5/10/2022 12:19:48,0,0,1,0,0,0,0,0,0
5/10/2022 12:20:24,0,0,1,0,0,0,0,0,0
5/10/2022 12:21:00,0,0,1,0,0,0,0,0,0
5/10/2022 12:21:36,0,0,1,0,0,0,0,0,0
5/10/2022 12:22:12,0,0,1,0,0,0,0,0,0
5/10/2022 12:22:48,0,0,1,0,0,0,0,0,0
5/10/2022 12:23:24,0,0,1,0,0,0,0,0,0
5/10/2022 12:24:00,0,0,1,0,0,0,0,0,0
5/10/2022 12:24:36,0,0,1,0,0,0,0,0,0
5/10/2022 12:25:12,0,0,1,0,0,0,0,0,0
5/10/2022 12:25:48,0,0,1,0,0,0,0,0,0
5/10/2022 12:26:24,0,0,1,0,0,0,0,0,0
5/10/2022 12:27:00,0,0,1,0,0,0,0,0,0
5/10/2022 12:27:36,0,0,1,0,0,0,0,0,0
5/10/2022 12:28:12,0,0,1,0,0,0,0,0,0
5/10/2022 12:28:48,0,0,1,0,0,0,0,0,0
5/10/2022 12:29:24,0,0,1,0,0,0,0,0,0
5/10/2022 12:30:00,0,0,1,0,0,0,0,0,0
5/10/2022 12:30:36,0,0,1,0,0,0,0,0,0
5/10/2022 12:31:12,0,0,1,0,0,0,0,0,0
5/10/2022 12:31:48,0,0,1,0,0,0,0,0,0
5/10/2022 12:32:24,0,0,1,0,0,0,0,0,0
5/10/2022 12:33:00,0,0,1,0,0,0,0,0,0
5/10/2022 12:33:36,0,0,1,0,0,0,0,0,0
5/10/2022 12:34:12,0,0,1,0,0,0,0,0,0
5/10/2022 12:34:48,0,0,1,0,0,0,0,0,0
5/10/2022 12:35:24,0,0,1,0,0,0,0,0,0
5/10/2022 12:36:00,0,0,1,0,0,0,0,0,0
5/10/2022 12:36:36,0,0,1,0,0,0,0,0,0
5/10/2022 12:37:12,0,0,1,0,0,0,0,0,0
5/10/2022 12:37:48,0,0,1,0,0,0,0,0,0
5/10/2022 12:38:24,0,0,1,0,0,0,0,0,0
5/10/2022 12:39:00,0,0,1,0,0,0,0,0,0
5/10/2022 12:39:36,0,0,1,0,0,0,0,0,0
5/10/2022 12:40:12,0,0,1,0,0,0,0,0,0
5/10/2022 12:40:48,0,0,1,0,0,0,0,0,0
5/10/2022 12:41:24,0,0,1,0,0,0,0,0,0
5/10/2022 12:42:00,0,0,1,0,0,0,0,0,0
5/10/2022 12:42:36,0,0,1,0,0,0,0,0,0
5/10/2022 12:43:12,0,0,1,0,0,0,0,0,0
5/10/2022 12:43:48,0,0,1,0,0,0,0,0,0
5/10/2022 12:44:24,0,0,1,0,0,0,0,0,0
5/10/2022 12:45:00,0,0,1,0,0,0,0,0,0
5/10/2022 12:45:36,0,0,1,0,0,0,0,0,0
5/10/2022 12:46:12,0,0,1,0,0,0,0,0,0
5/10/2022 12:46:48,0,0,1,0,0,0,0,0,0
5/10/2022 12:47:24,0,0,1,0,0,0,0,0,0
5/10/2022 12:48:00,0,0,1,0,0,0,0,0,0
5/10/2022 12:48:36,0,0,1,0,0,0,0,0,0
5/10/2022 12:49:12,0,0,1,0,0,0,0,0,0
5/10/2022 12:49:48,0,0,1,0,0,0,0,0,0
5/10/2022 12:50:24,0,0,1,0,0,0,0,0,0
5/10/2022 12:51:00,0,0,1,0,0,0,0,0,0
5/10/2022 12:51:36,0,0,1,0,0,0,0,0,0
5/10/2022 12:52:12,0,0,1,0,0,0,0,0,0
5/10/2022 12:52:48,0,0,1,0,0,0,0,0,0
5/10/2022 12:53:24,0,0,1,0,0,0,0,0,0
5/10/2022 12:54:00,0,0,1,0,0,0,0,0,0
5/10/2022 12:54:36,0,0,1,0,0,0,0,0,0
5/10/2022 12:55:12,0,0,1,0,0,0,0,0,0
5/10/2022 12:55:48,0,0,1,0,0,0,0,0,0
5/10/2022 12:56:24,0,0,1,0,0,0,0,0,0
5/10/2022 12:57:00,0,0,1,0,0,0,0,0,0
5/10/2022 12:57:36,0,0,1,0,0,0,0,0,0
